Gen,MeanFit,StdFit,MaxFit
0,-50.582,+0.255,-50.015
1,-52.319,+17.273,-49.911
2,-53.646,+21.686,-46.261
3,-55.886,+29.194,+9.692
4,-60.012,+42.946,+5.932
5,-167.467,+1032.073,+6.573
6,-64.737,+67.021,+36.687
7,-61.878,+61.204,+36.131
8,-65.303,+65.657,+34.806
9,-175.691,+1035.195,+44.123
10,-55.402,+72.768,+43.029
11,-56.558,+76.537,+46.211
12,-37.925,+72.394,+93.030
13,-47.955,+84.528,+93.450
14,-40.271,+76.567,+94.524
15,-37.848,+66.725,+105.955
16,-54.489,+83.219,+94.691
17,-138.571,+1037.045,+92.800
18,-34.685,+73.597,+96.007
19,-31.539,+77.376,+93.354
20,-50.332,+96.245,+115.890
21,-38.039,+90.413,+105.499
22,-36.983,+100.609,+105.652
23,-33.739,+95.272,+118.706
24,-25.479,+80.803,+103.359
25,-13.449,+81.468,+107.943
26,-22.441,+86.184,+131.622
27,-122.836,+1039.146,+129.494
28,-20.469,+94.302,+118.805
29,-24.803,+94.066,+132.609
30,-18.492,+80.999,+95.754
31,-32.845,+97.791,+174.968
32,-18.810,+90.489,+126.737
33,-26.494,+100.197,+146.379
34,-30.134,+95.631,+142.613
35,-21.407,+99.478,+132.886
36,-34.263,+108.901,+178.315
37,-31.506,+98.615,+140.735
38,-13.644,+87.464,+132.528
39,-32.052,+105.758,+164.302
40,-20.499,+100.611,+141.353
41,-15.390,+97.564,+169.231
42,-27.129,+101.904,+154.781
43,-12.120,+86.372,+132.706
44,-13.296,+104.201,+135.638
45,-55.837,+257.225,+123.934
46,-9.385,+96.469,+122.238
47,-12.289,+100.491,+141.589
48,-1.523,+96.680,+189.577
49,-24.439,+112.680,+193.045
50,-8.522,+100.305,+202.173
