Gen,MeanFit,StdFit,MaxFit
0,-98.067,+0.000,-98.066
1,-99.364,+8.892,-98.066
2,-98.067,+0.000,-98.066
3,-100.625,+11.711,-98.066
4,-100.851,+13.666,-98.066
5,-99.430,+9.362,-98.066
6,-100.737,+14.022,-98.066
7,-98.084,+0.173,-98.066
8,-99.566,+9.078,-98.066
9,-98.177,+1.078,-98.066
10,-98.169,+0.996,-98.066
11,-98.086,+0.186,-98.066
12,-98.067,+0.000,-98.066
13,-98.129,+0.450,-98.066
14,-98.249,+1.422,-98.066
15,-98.903,+7.540,-98.066
16,-99.364,+8.892,-98.066
17,-99.103,+10.101,-98.066
18,-98.135,+0.672,-98.066
19,-99.168,+10.734,-98.066
20,-98.067,+0.000,-98.066
21,-100.084,+13.138,-98.066
22,-100.354,+13.027,-98.066
23,-99.478,+8.936,-98.066
24,-98.067,+0.000,-98.066
25,-98.721,+6.384,-98.066
26,-101.646,+17.319,-98.066
27,-98.714,+6.306,-98.066
28,-99.321,+12.231,-98.066
29,-99.393,+10.819,-98.066
30,-99.236,+11.396,-98.066
31,-101.381,+16.267,-98.066
32,-100.201,+11.772,-98.066
33,-100.495,+15.498,-98.066
34,-100.080,+11.214,-98.066
35,-99.610,+10.724,-98.066
36,-99.198,+7.758,-98.066
37,-98.926,+7.557,-98.066
38,-98.067,+0.000,-98.066
39,-99.095,+10.027,-98.066
40,-99.173,+10.783,-98.066
41,-100.386,+15.377,-98.066
42,-99.364,+8.892,-98.066
43,-98.067,+0.000,-98.066
44,-98.067,+0.000,-98.066
45,-99.750,+9.720,-98.066
46,-98.792,+6.358,-98.066
47,-98.067,+0.000,-98.066
48,-99.996,+12.793,-98.066
49,-98.067,+0.000,-98.066
50,-100.246,+12.276,-98.066
51,-98.235,+1.639,-98.066
52,-99.511,+9.795,-98.066
53,-98.164,+0.640,-98.066
54,-98.168,+0.606,-98.066
55,-98.067,+0.000,-98.066
56,-100.851,+16.135,-98.066
57,-100.743,+12.857,-98.066
58,-98.715,+6.321,-98.066
59,-98.841,+7.352,-98.066
60,-99.854,+12.716,-98.066
61,-99.701,+11.449,-98.066
62,-98.934,+6.534,-98.066
63,-99.363,+10.921,-98.066
64,-101.508,+16.977,-98.066
65,-98.140,+0.506,-98.066
66,-99.452,+9.517,-98.066
67,-102.842,+19.937,-98.066
68,-100.970,+13.927,-98.066
69,-99.663,+10.922,-98.066
70,-99.436,+9.404,-98.066
71,-98.715,+6.321,-98.066
72,-99.776,+12.065,-98.066
73,-99.083,+9.130,-98.066
74,-99.774,+11.827,-98.066
75,-98.715,+6.321,-98.066
76,-99.333,+10.240,-98.066
77,-98.945,+7.586,-98.066
78,-99.381,+8.891,-98.066
79,-98.067,+0.000,-98.066
80,-100.051,+11.749,-98.066
81,-98.067,+0.000,-98.066
82,-100.264,+12.226,-98.066
83,-99.126,+8.886,-98.066
84,-98.082,+0.153,-98.066
85,-99.858,+12.302,-98.066
86,-98.160,+0.913,-98.066
87,-98.807,+7.215,-98.066
88,-98.085,+0.176,-98.066
89,-99.083,+9.911,-98.066
90,-100.864,+15.463,-98.066
91,-98.072,+0.057,-98.066
92,-99.025,+8.578,-98.066
93,-102.767,+17.281,-98.066
94,-98.715,+6.321,-98.066
95,-99.924,+13.310,-98.066
96,-98.715,+6.321,-98.066
97,-99.621,+10.657,-98.066
98,-101.238,+15.587,-98.066
99,-99.778,+12.077,-98.066
100,-98.067,+0.000,-98.066
101,-99.632,+10.896,-98.066
102,-100.149,+11.644,-98.066
103,-98.812,+7.268,-98.066
104,-98.738,+6.323,-98.066
105,-101.079,+16.495,-98.066
106,-98.916,+8.278,-98.066
107,-98.715,+6.321,-98.066
108,-99.911,+11.665,-98.066
109,-98.887,+7.993,-98.066
110,-98.948,+8.590,-98.066
111,-100.552,+11.824,-98.066
112,-100.229,+12.454,-98.066
113,-101.246,+16.710,-98.066
114,-99.589,+10.392,-98.066
115,-100.920,+15.331,-98.066
116,-102.997,+21.389,-98.066
117,-103.903,+19.896,-98.066
118,-100.886,+14.377,-98.066
119,-98.715,+6.321,-98.066
120,-99.556,+9.918,-98.066
121,-98.067,+0.000,-98.066
122,-98.714,+6.315,-98.066
123,-98.715,+6.321,-98.066
124,-98.067,+0.000,-98.066
125,-98.859,+7.533,-98.066
126,-99.082,+6.793,-98.066
127,-99.006,+8.520,-98.066
128,-98.763,+6.334,-98.066
129,-99.164,+7.652,-98.066
130,-98.861,+7.744,-98.066
131,-100.041,+10.998,-98.066
132,-98.067,+0.000,-98.066
133,-99.101,+10.087,-98.066
134,-99.042,+9.506,-98.066
135,-100.936,+12.401,-98.066
136,-98.067,+0.000,-98.066
137,-98.067,+0.000,-98.066
138,-101.299,+18.129,-98.066
139,-98.815,+7.295,-98.066
140,-101.442,+14.890,-98.066
141,-101.055,+15.862,-98.066
142,-99.525,+10.524,-98.066
143,-99.675,+11.222,-98.066
144,-99.680,+10.331,-98.066
145,-98.780,+6.346,-98.066
146,-98.067,+0.000,-98.066
147,-99.731,+11.307,-98.066
148,-98.810,+7.248,-98.066
149,-101.833,+18.311,-98.066
150,-98.713,+6.305,-98.066
151,-99.013,+6.466,-98.066
152,-99.124,+9.011,-98.066
153,-98.067,+0.000,-98.066
154,-98.715,+6.321,-98.066
155,-100.641,+14.571,-98.066
156,-98.067,+0.000,-98.066
157,-98.067,+0.000,-98.066
158,-101.456,+16.663,-98.066
159,-98.867,+7.799,-98.066
160,-100.055,+12.696,-98.066
161,-98.908,+8.200,-98.066
162,-100.285,+14.038,-98.066
163,-98.714,+6.313,-98.066
164,-98.947,+7.416,-98.066
165,-98.978,+8.885,-98.066
166,-98.715,+6.321,-98.066
167,-98.125,+0.436,-98.066
168,-98.715,+6.321,-98.066
169,-99.210,+11.146,-98.066
170,-99.321,+12.230,-98.066
171,-98.892,+6.534,-98.066
172,-98.067,+0.000,-98.066
173,-98.743,+6.430,-98.066
174,-100.664,+14.453,-98.066
175,-99.446,+9.477,-98.066
176,-98.170,+1.010,-98.066
177,-98.067,+0.000,-98.066
178,-98.316,+1.841,-98.066
179,-99.392,+9.093,-98.066
180,-101.142,+15.124,-98.066
181,-98.799,+6.366,-98.066
182,-99.698,+10.198,-98.066
183,-98.067,+0.000,-98.066
184,-100.789,+15.210,-98.066
185,-98.149,+0.802,-98.066
186,-98.087,+0.200,-98.066
187,-98.971,+6.589,-98.066
188,-98.728,+6.321,-98.066
189,-98.843,+6.376,-98.066
190,-101.237,+15.827,-98.066
191,-98.067,+0.000,-98.066
192,-98.067,+0.000,-98.066
193,-98.084,+0.175,-98.066
194,-100.600,+13.460,-98.066
195,-98.067,+0.000,-98.066
196,-98.067,+0.000,-98.066
197,-98.067,+0.000,-98.066
198,-98.067,+0.000,-98.066
199,-98.524,+2.212,-98.066
200,-98.732,+6.322,-98.066
201,-98.798,+6.364,-98.066
202,-100.645,+13.201,-98.066
203,-98.067,+0.000,-98.066
204,-98.915,+6.596,-98.066
205,-98.212,+1.415,-98.066
206,-99.044,+8.938,-98.066
207,-99.153,+10.593,-98.066
208,-98.108,+0.403,-98.066
209,-99.364,+8.892,-98.066
210,-98.067,+0.000,-98.066
211,-98.099,+0.322,-98.066
212,-101.963,+30.496,-98.066
213,-100.855,+12.745,-98.066
214,-99.770,+12.012,-98.066
215,-98.270,+1.981,-98.066
216,-98.275,+1.371,-98.066
217,-98.067,+0.000,-98.066
218,-99.607,+9.477,-98.066
219,-98.067,+0.000,-98.066
220,-98.715,+6.321,-98.066
221,-99.898,+13.089,-98.066
222,-98.892,+6.534,-98.066
223,-99.283,+10.691,-98.066
224,-98.370,+2.016,-98.066
225,-100.287,+14.505,-98.066
226,-101.092,+14.693,-98.066
227,-98.067,+0.000,-98.066
228,-100.661,+14.904,-98.066
229,-98.067,+0.000,-98.066
230,-98.067,+0.000,-98.066
231,-98.861,+7.743,-98.066
232,-99.798,+11.912,-98.066
233,-99.564,+10.363,-98.066
234,-99.482,+8.950,-98.066
235,-98.906,+7.379,-98.066
236,-100.698,+14.374,-98.066
237,-98.715,+6.321,-98.066
238,-99.027,+9.362,-98.066
239,-99.472,+11.794,-98.066
240,-98.747,+6.629,-98.066
241,-98.110,+0.422,-98.066
242,-101.627,+19.214,-98.066
243,-99.102,+10.092,-98.066
244,-98.067,+0.000,-98.066
245,-98.087,+0.200,-98.066
246,-100.483,+13.639,-98.066
247,-98.067,+0.000,-98.066
248,-100.952,+15.296,-98.066
249,-99.364,+8.892,-98.066
250,-98.714,+6.312,-98.066
251,-99.945,+13.321,-98.066
252,-100.339,+12.216,-98.066
253,-100.061,+11.439,-98.066
254,-99.155,+10.163,-98.066
255,-98.715,+6.321,-98.050
256,-101.708,+15.502,-98.050
257,-105.446,+20.048,-97.985
258,-108.515,+23.634,-97.985
259,-101.338,+13.042,-97.985
260,-104.758,+18.599,-91.415
261,-108.182,+26.363,-91.415
262,-115.409,+31.503,-91.415
263,-105.504,+20.960,-91.415
264,-121.962,+35.301,-76.107
265,-118.932,+32.805,-71.060
266,-119.818,+35.442,-71.060
267,-127.756,+38.999,-71.060
268,-120.770,+38.711,-71.060
269,-122.862,+36.375,-43.109
270,-123.986,+41.571,-43.109
271,-121.690,+41.834,-43.109
272,-121.090,+39.187,-43.109
273,-122.710,+41.118,-43.109
274,-118.795,+41.669,-43.109
275,-120.714,+39.689,-43.109
276,-121.802,+42.711,-43.109
277,-122.683,+39.120,-43.109
278,-128.314,+45.029,-43.109
279,-121.773,+43.766,-43.109
280,-116.923,+42.511,-43.109
281,-115.350,+38.098,-43.109
282,-119.986,+40.881,-43.109
283,-122.483,+44.487,-39.143
284,-121.319,+43.302,-39.143
285,-114.769,+40.106,-39.143
286,-120.843,+45.407,-24.428
287,-122.323,+45.184,-24.428
288,-113.899,+45.293,-24.428
289,-116.707,+47.892,-24.428
290,-113.851,+47.885,-24.428
291,-122.746,+45.774,-24.428
292,-118.797,+47.126,-24.428
293,-119.881,+46.209,-24.428
294,-113.248,+43.742,-24.428
295,-120.265,+48.316,-24.428
296,-118.597,+47.047,-24.428
297,-120.331,+60.776,-24.428
298,-125.296,+48.986,-24.428
299,-104.895,+39.326,-24.428
300,-114.597,+47.201,-24.428
301,-123.104,+52.179,-24.428
302,-110.574,+48.795,-11.877
303,-119.744,+60.205,-11.877
304,-112.114,+48.017,-11.877
305,-117.068,+50.581,-11.877
306,-122.638,+50.820,-11.877
307,-117.530,+49.819,-11.877
308,-118.644,+56.119,-11.877
309,-129.177,+49.878,-11.877
310,-121.793,+49.586,-11.877
311,-119.196,+52.780,-11.877
312,-121.842,+53.063,-11.877
313,-116.293,+49.599,-11.877
314,-123.453,+51.517,-11.877
315,-123.911,+57.807,-11.877
316,-115.074,+51.072,-11.877
317,-120.306,+59.139,-11.877
318,-122.985,+51.384,-11.877
319,-106.425,+46.770,-11.877
320,-121.861,+55.305,-11.877
321,-120.593,+53.486,-11.877
322,-118.129,+53.770,-11.877
323,-118.851,+52.031,-11.877
324,-122.774,+52.184,-11.877
325,-117.170,+56.298,-11.877
326,-118.358,+51.008,-11.877
327,-124.045,+56.264,-11.877
328,-113.360,+47.827,-11.877
329,-116.734,+52.490,-11.877
330,-120.018,+51.212,-11.877
331,-124.903,+56.494,-11.877
332,-129.294,+63.837,-11.877
333,-119.815,+53.793,-11.877
334,-118.531,+54.460,-11.877
335,-120.721,+50.877,-11.877
336,-126.017,+55.508,-11.877
337,-113.292,+47.840,-11.877
338,-113.726,+50.338,-11.877
339,-127.267,+51.832,-11.877
340,-112.202,+49.146,-11.877
341,-116.866,+50.860,-11.877
